transaction_id,merchant_id,user_id,amount,payment_method,timestamp_initiated,timestamp_otp_sent,timestamp_next_event,error_code,status
txn_00001,merch_01,user_036,12282.35,upi,2026-09-01T10:01:00,2026-09-01T10:01:04,2026-09-01T10:03:48,,abandoned
txn_00002,merch_04,user_005,1538.37,upi,2026-09-01T10:02:00,2026-09-01T10:02:08,2026-09-01T10:02:33,,success
txn_00003,merch_05,user_026,35815.18,wallet,2026-09-01T10:03:00,2026-09-01T10:03:08,2026-09-01T10:05:40,,abandoned
txn_00004,merch_01,user_021,34922.06,netbanking,2026-09-01T10:04:00,2026-09-01T10:04:09,2026-09-01T10:06:03,,abandoned
txn_00005,merch_03,user_014,4682.65,card,2026-09-01T10:05:00,2026-09-01T10:05:12,2026-09-01T10:05:23,,success
txn_00006,merch_01,user_059,26834.59,wallet,2026-09-01T10:06:00,2026-09-01T10:06:03,2026-09-01T10:08:48,,abandoned
txn_00007,merch_05,user_047,28888.74,card,2026-09-01T10:07:00,2026-09-01T10:07:02,2026-09-01T10:07:15,,success
txn_00008,merch_01,user_030,43330.86,wallet,2026-09-01T10:08:00,2026-09-01T10:08:09,,INSUFFICIENT_FUNDS,failed
txn_00009,merch_03,user_021,18540.54,upi,2026-09-01T10:09:00,2026-09-01T10:09:09,2026-09-01T10:09:05,,success
txn_00010,merch_02,user_069,36469.88,upi,2026-09-01T10:10:00,2026-09-01T10:10:15,2026-09-01T10:12:38,,abandoned
txn_00011,merch_05,user_029,34246.48,card,2026-09-01T10:11:00,2026-09-01T10:11:08,2026-09-01T10:11:03,,success
txn_00012,merch_04,user_035,3356.12,netbanking,2026-09-01T10:12:00,2026-09-01T10:12:07,,INSUFFICIENT_FUNDS,failed
txn_00013,merch_04,user_059,7186.44,upi,2026-09-01T10:13:00,2026-09-01T10:13:08,,TIMED_OUT,failed
txn_00014,merch_05,user_034,37363.34,wallet,2026-09-01T10:14:00,2026-09-01T10:14:19,,INSUFFICIENT_FUNDS,failed
txn_00015,merch_02,user_018,25500.84,card,2026-09-01T10:15:00,2026-09-01T10:15:02,2026-09-01T10:15:08,,success
txn_00016,merch_02,user_055,29840.63,wallet,2026-09-01T10:16:00,2026-09-01T10:16:13,2026-09-01T10:16:39,,success
txn_00017,merch_05,user_033,48555.36,card,2026-09-01T10:17:00,,,,abandoned
txn_00018,merch_01,user_069,37556.35,netbanking,2026-09-01T10:18:00,2026-09-01T10:18:04,,TIMED_OUT,failed
txn_00019,merch_02,user_059,212.1,netbanking,2026-09-01T10:19:00,2026-09-01T10:19:17,2026-09-01T10:19:12,,success
txn_00020,merch_01,user_039,42091.38,upi,2026-09-01T10:20:00,2026-09-01T10:20:05,2026-09-01T10:20:24,,success
txn_00021,merch_05,user_068,45928.75,netbanking,2026-09-01T10:21:00,2026-09-01T10:21:16,,INSUFFICIENT_FUNDS,failed
txn_00022,merch_03,user_040,12010.64,upi,2026-09-01T10:22:00,2026-09-01T10:22:19,2026-09-01T10:22:06,,success
txn_00023,merch_04,user_009,48900.33,upi,2026-09-01T10:23:00,2026-09-01T10:23:05,2026-09-01T10:23:31,,success
txn_00024,merch_02,user_034,26407.31,wallet,2026-09-01T10:24:00,,,,abandoned
txn_00025,merch_05,user_026,35661.8,wallet,2026-09-01T10:25:00,,,,abandoned
txn_00026,merch_03,user_057,44985.72,wallet,2026-09-01T10:26:00,,,,abandoned
txn_00027,merch_02,user_009,16937.37,upi,2026-09-01T10:27:00,2026-09-01T10:27:19,2026-09-01T10:27:15,,success
txn_00028,merch_01,user_030,3416.65,card,2026-09-01T10:28:00,2026-09-01T10:28:11,2026-09-01T10:28:05,,success
txn_00029,merch_03,user_063,10751.13,upi,2026-09-01T10:29:00,2026-09-01T10:29:19,2026-09-01T10:29:37,,success
txn_00030,merch_04,user_053,9560.98,card,2026-09-01T10:30:00,2026-09-01T10:30:14,2026-09-01T10:30:23,,success
txn_00031,merch_04,user_007,33684.56,card,2026-09-01T10:31:00,2026-09-01T10:31:02,2026-09-01T10:31:26,,success
txn_00032,merch_01,user_032,9619.92,wallet,2026-09-01T10:32:00,2026-09-01T10:32:05,,TIMED_OUT,failed
txn_00033,merch_03,user_060,12527.83,card,2026-09-01T10:33:00,2026-09-01T10:33:15,2026-09-01T10:33:36,,success
txn_00034,merch_05,user_002,48451.36,upi,2026-09-01T10:34:00,2026-09-01T10:34:06,2026-09-01T10:34:27,,success
txn_00035,merch_02,user_052,45127.02,upi,2026-09-01T10:35:00,2026-09-01T10:35:13,2026-09-01T10:35:01,,success
txn_00036,merch_03,user_059,14298.2,wallet,2026-09-01T10:36:00,,,,abandoned
txn_00037,merch_03,user_028,48437.03,card,2026-09-01T10:37:00,2026-09-01T10:37:11,2026-09-01T10:37:04,,success
txn_00038,merch_04,user_065,45973.39,upi,2026-09-01T10:38:00,2026-09-01T10:38:02,2026-09-01T10:38:33,,success
txn_00039,merch_02,user_009,29772.0,upi,2026-09-01T10:39:00,2026-09-01T10:39:13,2026-09-01T10:39:08,,success
txn_00040,merch_05,user_032,28967.01,card,2026-09-01T10:40:00,,,,abandoned
txn_00041,merch_04,user_075,28283.08,netbanking,2026-09-01T10:41:00,2026-09-01T10:41:09,2026-09-01T10:43:10,,abandoned
txn_00042,merch_03,user_031,13317.44,upi,2026-09-01T10:42:00,2026-09-01T10:42:10,,TIMED_OUT,failed
txn_00043,merch_01,user_002,22941.36,card,2026-09-01T10:43:00,2026-09-01T10:43:03,2026-09-01T10:43:35,,success
txn_00044,merch_03,user_017,46666.31,card,2026-09-01T10:44:00,2026-09-01T10:44:08,2026-09-01T10:44:24,,success
txn_00045,merch_04,user_070,35191.82,card,2026-09-01T10:45:00,2026-09-01T10:45:18,2026-09-01T10:45:20,,success
txn_00046,merch_01,user_018,13260.07,card,2026-09-01T10:46:00,,,,abandoned
txn_00047,merch_02,user_035,14123.73,upi,2026-09-01T10:47:00,2026-09-01T10:47:11,,INSUFFICIENT_FUNDS,failed
txn_00048,merch_03,user_065,24452.17,card,2026-09-01T10:48:00,2026-09-01T10:48:03,2026-09-01T10:48:28,,success
