transaction_id,merchant_id,user_id,amount,payment_method,timestamp_initiated,timestamp_otp_sent,timestamp_next_event,error_code,status,true_cause
txn_00278,merch_04,user_039,24742.41,card,2026-09-01T14:38:00,,,CARD_DECLINED,failed,method_mismatch
txn_00071,merch_04,user_054,41550.38,card,2026-09-01T11:11:00,,,CARD_DECLINED,failed,method_mismatch
txn_00205,merch_01,user_056,986.14,card,2026-09-01T13:25:00,,,,abandoned,network_drop
txn_00127,merch_03,user_052,40687.62,card,2026-09-01T12:07:00,2026-09-01T12:07:15,,INSUFFICIENT_FUNDS,failed,insufficient_funds
txn_00132,merch_05,user_031,35503.65,netbanking,2026-09-01T12:12:00,2026-09-01T12:12:18,2026-09-01T12:13:54,TIMED_OUT,failed,bank_timeout
txn_00230,merch_03,user_031,48480.95,netbanking,2026-09-01T13:50:00,2026-09-01T13:50:15,2026-09-01T13:50:15,,success,success
txn_00227,merch_02,user_020,3904.4,card,2026-09-01T13:47:00,2026-09-01T13:47:17,2026-09-01T13:47:35,,success,success
txn_00243,merch_03,user_055,128.14,netbanking,2026-09-01T14:03:00,2026-09-01T14:03:08,,INSUFFICIENT_FUNDS,failed,insufficient_funds
txn_00106,merch_03,user_076,48831.52,netbanking,2026-09-01T11:46:00,2026-09-01T11:46:04,,INSUFFICIENT_FUNDS,failed,insufficient_funds
txn_00211,merch_03,user_045,36382.59,upi,2026-09-01T13:31:00,2026-09-01T13:31:08,2026-09-01T13:31:07,,success,success
txn_00007,merch_04,user_011,27624.43,netbanking,2026-09-01T10:07:00,2026-09-01T10:07:19,2026-09-01T10:07:13,,success,success
txn_00201,merch_05,user_040,2318.6,wallet,2026-09-01T13:21:00,2026-09-01T13:21:20,,TIMED_OUT,failed,bank_timeout
txn_00131,merch_03,user_057,44048.29,wallet,2026-09-01T12:11:00,2026-09-01T12:11:04,2026-09-01T12:11:02,,success,success
txn_00133,merch_01,user_029,49613.24,card,2026-09-01T12:13:00,2026-09-01T12:13:15,2026-09-01T12:15:05,,abandoned,otp_timeout
txn_00062,merch_02,user_033,2267.11,wallet,2026-09-01T11:02:00,,,,abandoned,network_drop
txn_00020,merch_03,user_065,38110.01,card,2026-09-01T10:20:00,2026-09-01T10:20:10,2026-09-01T10:23:06,TIMED_OUT,failed,bank_timeout
txn_00135,merch_04,user_062,49013.22,upi,2026-09-01T12:15:00,2026-09-01T12:15:15,,INSUFFICIENT_FUNDS,failed,insufficient_funds
txn_00220,merch_02,user_047,18673.96,netbanking,2026-09-01T13:40:00,2026-09-01T13:40:13,2026-09-01T13:42:40,,abandoned,otp_timeout
txn_00234,merch_01,user_067,42565.74,netbanking,2026-09-01T13:54:00,2026-09-01T13:54:03,2026-09-01T13:55:58,,abandoned,otp_timeout
txn_00152,merch_02,user_010,22114.4,netbanking,2026-09-01T12:32:00,2026-09-01T12:32:19,,INSUFFICIENT_FUNDS,failed,insufficient_funds
txn_00126,merch_03,user_042,33523.17,upi,2026-09-01T12:06:00,2026-09-01T12:06:11,2026-09-01T12:06:27,,success,success
txn_00180,merch_05,user_029,47273.51,card,2026-09-01T13:00:00,2026-09-01T13:00:17,2026-09-01T13:00:20,,success,success
txn_00282,merch_01,user_038,47271.98,wallet,2026-09-01T14:42:00,2026-09-01T14:42:08,2026-09-01T14:42:11,,success,success
txn_00163,merch_04,user_002,13259.71,card,2026-09-01T12:43:00,2026-09-01T12:43:15,2026-09-01T12:43:24,,success,success
txn_00147,merch_01,user_056,48917.97,card,2026-09-01T12:27:00,2026-09-01T12:27:15,2026-09-01T12:29:11,TIMED_OUT,failed,bank_timeout
txn_00269,merch_04,user_068,20569.22,wallet,2026-09-01T14:29:00,2026-09-01T14:29:19,2026-09-01T14:31:03,TIMED_OUT,failed,bank_timeout
txn_00141,merch_04,user_049,19334.63,upi,2026-09-01T12:21:00,2026-09-01T12:21:16,2026-09-01T12:21:03,,success,success
txn_00100,merch_03,user_034,17049.93,netbanking,2026-09-01T11:40:00,2026-09-01T11:40:18,2026-09-01T11:40:01,,success,success
